Network,Site_Code,Lon,Lat,Texture,Topo,Site_Info,Corr_Val,RMSE_Val,MinSM,MaxSM,Heuristic,Vert_Shift,Amplitude,Horiz_Shift,Porosity,Res_SM,Drainage,n,Class,Zone,Easting,Northing
ARS,WG22,-110.862202,31.856525,6,1,"Walnut Gulch, AZ (ARS)",0.8,2.3,2.5,21,0.675675676,0.021,0.02,220.66,15.15,4.6,0.864,450,IACJ,12R,513035,3524541
ARS,WG23,-110.8631664,31.8548026,6,1,"Walnut Gulch, AZ (ARS)",0.723,2.724,2.5,18,0.547258065,0.028,0.017,181.9,13.98,4.41,0.336,450,IACJ,12R,512944,3524349
ARS,WG24,-110.9129224,31.85342092,6,1,"Walnut Gulch, AZ (ARS)",0.677,1.108,2.5,11,0.546647059,0.035,0.017,159.35,7.26,2.67,0.447,450,IACJ,12R,508238,3524191
ARS,WG25,-110.9041833,31.8510238,6,1,"Walnut Gulch, AZ (ARS)",0.783,3.268,2.5,22,0.615410256,0.018,0.014,264.66,17.22,6.72,0.397,450,IACJ,12R,509065,3523926
ARS,WG26,-110.8515918,31.8151738,6,1,"Walnut Gulch, AZ (ARS)",0.718,1.36,2.5,13,0.58847619,0.043,0.021,203.45,9.87,3.04,0.581,450,IACJ,12R,514046,3519958
ARS,WG27,-110.8544257,31.8137426,6,1,"Walnut Gulch, AZ (ARS)",0.654,2.205,2.5,16,0.490666667,0.049,0.026,141.81,11.61,3.26,0.517,450,IACJ,12R,513778,3519799
ARS,WG28,-110.852403,31.81666345,6,1,"Walnut Gulch, AZ (ARS)",0.687,2.965,2.5,19,0.50730303,0.048,0.024,133.05,12.38,4.09,0.73,450,IACJ,12R,513969,3520123
ARS,WG29,-110.2805174,31.5068764,6,1,"Walnut Gulch, AZ (ARS)",0.842,2.437,2.5,19,0.69430303,0.045,0.028,254.09,14.37,5.63,0.941,450,IACJ,12R,568320,3486002
ARS,WG30,-110.2793282,31.50539914,6,1,"Walnut Gulch, AZ (ARS)",0.833,2.212,2.5,21,0.713432432,0.043,0.038,362.71,21.36,4.76,0.161,450,IACJ,12R,568435,3485839
ARS,WG31,-110.275402,31.50520554,6,1,"Walnut Gulch, AZ (ARS)",0.58,6.178,3,23,0.2711,0.047,0.029,46.86,17.27,9.95,0.408,450,IACJ,12R,568807,3485820
ARS,WG32,-110.277171,31.5051975,6,1,"Walnut Gulch, AZ (ARS)",0.605,3.407,2.5,24,0.446534884,0.05,0.024,11.76,19.09,3.63,0.253,450,IACJ,12R,568640,3485818
ARS,WG33,-110.2480811,31.69470896,6,1,"Walnut Gulch, AZ (ARS)",0.844,2.885,2.5,25,0.715777778,0.016,0.016,282.88,18.78,4.96,0.236,450,IACJ,12R,571258,3506842
ARS,WG34,-110.2274498,31.3469273,6,1,"Walnut Gulch, AZ (ARS)",0.749,2.652,2.5,18,0.577903226,0.027,0.021,309.92,13.74,2.2,0.415,450,IACJ,12R,573484,3468308
ARS,WG35,-109.928726,31.39135179,6,1,"Walnut Gulch, AZ (ARS)",0.882,3.09,2.5,25,0.744666667,0.036,0.008,158.9,21.54,6.37,0.253,450,IACJ,12R,601853,3473470
ARS,WG36,-110.2639881,31.9245136,6,1,"Walnut Gulch, AZ (ARS)",0.777,1.748,3,20,0.674176471,0.02,0.029,256.76,16.68,4.64,0.332,450,IACJ,12R,569578,3532304
ARS,WG37,-110.0483274,31.89982345,6,1,"Walnut Gulch, AZ (ARS)",0.714,1.196,2.5,14,0.61,0.064,0.053,152.34,15.3,1.95,0.193,450,IACJ,12R,589990,3529726
ARS,WG38,-109.8827147,31.7719061,6,1,"Walnut Gulch, AZ (ARS)",0.866,3.145,2.5,20,0.686285714,0.041,0.039,287.9,14.82,2.01,0.327,450,IACJ,12R,605796,3515696
ARS,WG39,-110.0712868,31.59826472,6,1,"Walnut Gulch, AZ (ARS)",0.823,4.443,8,43,0.696057143,0.049,0.047,364.31,34.54,12.46,0.375,450,IACJ,12R,588104,3496281
ARS,WG40,-109.9597171,31.48120389,6,1,"Walnut Gulch, AZ (ARS)",0.825,4.597,2.5,20,0.562314286,0.048,0.035,257.47,14.36,7.25,0.378,450,IACJ,12R,598812,3483401
ARS,WG41,-109.9443789,31.84966459,6,1,"Walnut Gulch, AZ (ARS)",0.545,4.73,4,28,0.347916667,0.032,0.024,248.1,29.44,7.47,0.215,450,IACJ,12R,599873,3524257
ARS,WG42,-110.3523846,31.8389549,6,1,"Walnut Gulch, AZ (ARS)",0.208,3.139,2.5,20,0.028628571,0.007,0.037,256.77,15.38,1.75,0.252,450,IACJ,12R,561277,3522767
ARS,WG43,-110.4044629,31.54189731,6,1,"Walnut Gulch, AZ (ARS)",0.856,1.6,2.5,18,0.752774194,0.053,0.021,115.72,13.67,2.85,0.429,450,IACJ,12R,556530,3489813
ARS,WG45,-110.1090779,31.39477145,6,1,"Walnut Gulch, AZ (ARS)",0.81,2.694,2.5,25,0.690266667,0.018,0.034,287.63,18.15,4.63,0.43,450,IACJ,12R,584701,3473696
ARS,WG46,-110.2003863,31.58390918,6,1,"Walnut Gulch, AZ (ARS)",0.868,1.634,2.5,15,0.73728,0.01,0.02,251.27,12.06,3.67,0.304,450,IACJ,12R,575867,3494593
ARS,WG47,-110.2790829,31.3435196,6,1,"Walnut Gulch, AZ (ARS)",0.737,3.348,2.5,22,0.565307692,0.017,0.017,293.09,15.09,2.94,0.611,450,IACJ,12R,568576,3467897
ARS,WG48,-110.2843477,31.504489,6,1,"Walnut Gulch, AZ (ARS)",0.546,2.916,2.5,18,0.357870968,0.037,0.026,333.2,14.52,2.98,0.297,450,IACJ,12R,567958,3485735
ARS,WG49,-110.488375,34.58958238,6,1,"Walnut Gulch, AZ (ARS)",0.829,2.908,5,34,0.728724138,0.027,0.027,225.3,36.62,8.03,0.256,450,IACJ,12S,546918,3827649
ARS,WG50,-110.5274877,31.5858354,6,1,"Walnut Gulch, AZ (ARS)",0.783,3.307,2.5,29,0.658207547,0.018,0.029,267.18,24.82,4.69,0.343,450,IACJ,12R,544830,3494626
ARS,WG51,-110.4948552,31.5997572,6,1,"Walnut Gulch, AZ (ARS)",0.834,1.752,2.5,20,0.733885714,0.032,0.011,290.93,18.51,1.91,0.29,450,IACJ,12R,547920,3496183
ARS,WG52,-110.2802927,31.50183178,6,1,"Walnut Gulch, AZ (ARS)",0.815,3.228,2.5,22,0.649461538,0.026,0.018,322.17,18.05,5.3,0.368,450,IACJ,12R,568346,3485443
ARS,WG54,-110.2906992,31.5237777,6,1,"Walnut Gulch, AZ (ARS)",0.888,0.914,2.5,11,0.780470588,0.019,0.018,290.52,10.14,2.42,0.21,450,IACJ,12R,567342,3487869
ARS ,SF02,-93.56545,42.4693,6,1,"South Forks, IA (ARS)",0.219,8.913,12.9,54.6,0.005258993,0.042,0.038,167.5,45.3,17.91,0.146,250,ITC,15T,453516,4702039
ARS ,SF04,-93.52527,42.54459,6,1,"South Forks, IA (ARS)",0.478,7.347,10.2,48.7,0.287168831,0.049,0.029,132.4,54.38,13.98,0.094,250,ITC,15T,456871,4710377
ARS ,SF06,-93.50013,42.3896,6,1,"South Forks, IA (ARS)",-0.084,10.414,11.8,47.8,-0.373277778,0.049,0.046,120.45,39.32,17.07,0.258,250,ITC,15T,458833,4693155
ARS ,SF08,-93.44149,42.48463,6,1,"South Forks, IA (ARS)",0.527,5.607,8.8,35.1,0.313806084,0.043,0.041,199.32,30.11,12.58,0.401,250,ITC,15T,463715,4703680
ARS ,SF10,-93.40293,42.37937,6,1,"South Forks, IA (ARS)",0.502,7.766,2.5,46.7,0.326298643,0.031,0.044,224.15,38.53,8.84,0.351,200,ITC,15T,466829,4691977
ARS ,SF12,-93.33422,42.3414,6,1,"South Forks, IA (ARS)",0.521,8.11,10.7,49,0.309250653,0.023,0.038,207.61,49.2,15.52,0.226,200,ITC,15T,472469,4687736
ARS ,SF14,-93.25486,42.32831,6,1,"South Forks, IA (ARS)",0.496,5.284,11.8,38.4,0.297353383,0.045,0.045,189.69,32.08,16.78,0.466,200,ITC,15T,479001,4686260
ARS ,SF16,-93.483616,42.30485,6,1,"South Forks, IA (ARS)",0.707,3.796,14.9,38.6,0.546831224,0.02,0.021,208.72,35.01,17.03,0.315,200,ITC,15T,460139,4683737
ARS ,SF18,-93.520643,42.297846,6,1,"South Forks, IA (ARS)",0.446,6.308,13.5,40,0.207962264,0.025,0.04,194.44,36.15,15.19,0.348,200,ITC,15T,457083,4682977
ARS ,SF20,-93.232442,42.45126,6,1,"South Forks, IA (ARS)",0.759,4.28,13.5,40.7,0.601647059,0.046,0.046,189.44,36.46,16.18,0.636,200,ITC,15T,480886,4699907
CRN,1001,-105.1,48.31,6,1,1001MT Wolf Point 29 ENE.txt,0.888,2.936,9.5,41.6,0.796535826,0.014,0.004,156.84,40.36,15.84,1.162,400,XACJ,13U,492585,5350761
CRN,1002,-105.1,48.31,6,1,1002MT Wolf Point 34 NE.txt,0.94,2.283,8.1,37,0.86100346,0.014,0.023,232.96,31.6,11.03,2.928,500,XACJ,13U,492585,5350761
CRN,1003,-96.57,40.85,8,1,1003NE Lincoln 11 SW.txt,0.872,3.91,8.8,46.4,0.768010638,0.02,0.013,232.26,45.09,12.83,1.11,300,ISQJ,14T,704838,4524947
CRN,1004,-96.57,40.85,8,1,1004NE Lincoln 8 ENE.txt,0.826,3.892,10.3,48.5,0.724115183,0.014,0.014,288.83,42.17,16.39,1.427,350,ISQJ,14T,704838,4524947
CRN,1005,-97.09,36.12,4,1,1005OK Stillwater 2 W.txt,0.879,3.775,8,48.2,0.785094527,0.025,0.015,283.71,42.66,11.19,1.586,350,IAQ,14S,671892,3998947
CRN,1006,-97.09,36.12,4,1,1006OK Stillwater 5 WNW.txt,0.877,4.62,3.3,48.5,0.774787611,0.018,0.012,277.48,47.82,6.84,0.878,350,IAQ,14S,671892,3998947
CRN,1009,-96.62,43.73,4,1,1009SD Sioux Falls 14 NNE.txt,0.882,6.439,12.1,53.2,0.725333333,0.014,0.014,222.58,60.71,19.06,1.032,300,XACJ,14T,691680,4844638
CRN,1010,-110.51,31.59,6,1,1010AZ Elgin 5 S.txt,0.951,1.608,1.7,25.2,0.882574468,0.018,0.018,286.41,25.64,3.59,1.146,450,IACJ,12R,546488,3495095
CRN,1011,-111.17,32.24,3,1,1011AZ Tucson 11 W.txt,0.928,1.516,0,13.5,0.815703704,0.019,0.014,232.61,12.62,2.03,3.581,450,IACJ,12S,483984,3567051
CRN,1012,-92.12,32.88,3,1,1012LA Monroe 26 N.txt,0.948,2.895,4.1,36.2,0.857813084,0.012,0.011,217.17,38.35,6,0.814,500,LWC,15S,582318,3638327
CRN,1013,-91.87,30.09,4,1,1013LA Lafayette 13 SE.txt,0.913,3.731,8.8,45,0.809933702,0.02,0.007,309.45,39.32,10.61,1.448,500,LWC,15R,608890,3329296
CRN,1014,-104.76,40.81,9,1,1014CO Nunn 7 NNE.txt,0.83,2.373,0.3,14.2,0.659280576,0.002,0.013,303.85,13.13,2.14,2.085,250,IAQ,13T,520242,4517693
CRN,1015,-122.61,40.65,6,1,1015CA Redding 12 WNW.txt,0.592,1.824,2,26.2,0.516628099,0.019,0.019,68.12,26.72,3.73,1.151,450,XHD,10T,532972,4499978
CRN,1017,-121.45,48.54,2,1,1017WA Darrington 21 NNE.txt,0.875,4.975,3.3,36.7,0.726047904,0.016,0.013,134.82,34.5,3.79,0.944,500,XVM,10U,614409,5377481
CRN,1018,-95.72,31.78,1,1,1018TX Palestine 6 WNW.txt,0.904,3.287,0,34.7,0.809273775,0.027,0.009,11.97,41.15,1.09,0.608,450,ISQJ,15R,242426,3519272
CRN,1019,-102.81,31.62,1,1,1019TX Monahans 6 ENE.txt,0.525,2.028,0,8.1,0.27462963,0.05,0.024,215.55,5.69,0.47,3.673,300,IAF,13R,707728,3500398
CRN,1020,-107.19,33.98,3,1,1020NM Socorro 20 N.txt,0.847,2.699,0.7,18.3,0.693647727,0.007,0.014,255.13,39.32,4.51,0.647,350,XACJ,13S,297692,3762099
CRN,1021,-113.56,43.46,16,1,1021ID Arco 17 SW.txt,0.736,2.879,0,17.6,0.572420455,0.004,0.015,223.03,20.98,0,1.61,500,IHM,12T,292898,4815082
CRN,1022,-116.75,43.2,4,1,1022ID Murphy 10 W.txt,0.817,3.044,5.4,31.5,0.700371648,0.008,0.017,215.55,36.51,7.88,1.554,450,XTM,11T,520310,4783055
CRN,1023,-119.69,43.47,9,1,1023OR Riley 10 WSW.txt,0.82,2.662,1,26.5,0.715607843,0.013,0.013,190.59,23.91,2.92,2.75,450,XACJ,11T,282416,4816524
CRN,1024,-79.47,39.01,4,1,1024WV Elkins 21 ENE.txt,0.444,8.182,12.6,45,0.191469136,0.006,0.03,246.56,46.28,13.51,0.73,500,LJ,17S,632470,4318999
CRN,1025,-103.74,42.42,6,1,1025NE Harrison 20 SSE.txt,0.72,4.249,0,26.7,0.560861423,0.01,0.008,60.29,24.65,1.98,1.363,250,XACJ,13T,603661,4697179
CRN,1026,-82.61,35.49,6,1,1026NC Asheville 8 SSW.txt,0.559,7.276,6.1,44.2,0.368028871,0.025,0.013,152.51,39.06,10.73,1.078,450,LJ,17S,353959,3928575
CRN,1027,-82.61,35.49,6,1,1027NC Asheville 13 S.txt,0.786,5.694,7.5,38.7,0.6035,0.014,0.014,209.99,46.13,9.62,0.368,450,LJ,17S,353959,3928575
CRN,1028,-84.75,38.09,4,1,1028KY Versailles 3 NNW.txt,0.727,4.55,10.1,42.6,0.587,0.012,0.012,311.36,39.58,11.93,1.385,450,LPM,16S,697314,4218191
CRN,1029,-81.33,33.36,2,1,1029SC Blackville 3 W.txt,0.799,3.952,3.4,26.5,0.627917749,0.031,0.016,301.25,20.82,5.63,2.243,450,LJ,17S,469298,3691246
CRN,1030,-79.36,33.15,1,1,1030SC McClellanville 7 NE.txt,0.847,6.467,1.3,32,0.636348534,0.021,0.029,238.06,14.27,2.72,1.358,400,LJ,17S,652950,3669113
CRN,1031,-86.23,37.25,4,1,1031KY Bowling Green 21 NNE.txt,0.79,4.943,8.9,39,0.625780731,0.016,0.01,277.31,32.74,10.92,2.009,450,LPM,16S,568287,4122884
CRN,1032,-84.47,31.31,2,1,1032GA Newton 8 W.txt,0.883,1.677,2.4,16,0.759691176,0.038,0.021,331.42,13.32,2.99,2.996,450,LWC,16R,740780,3466722
CRN,1033,-84.47,31.31,2,1,1033GA Newton 11 SW.txt,0.934,1.893,0.2,20.6,0.841205882,0.027,0.024,293.72,19.19,2.35,1.721,450,LWC,16R,740780,3466722
CRN,1034,-68.7,44.93,4,1,1034ME Old Town 2 W.txt,0.591,6.651,9.3,53.8,0.441539326,0.01,0.01,188.89,43.94,11.23,1.704,500,LJ,19T,523673,4975218
CRN,1035,-67.88,46.96,4,1,1035ME Limestone 4 NNW.txt,0.845,3.399,5.8,41.2,0.748983051,0.038,0.037,240.93,35.78,7.21,2.041,500,LJ,19T,585211,5201327
CRN,1036,-89.07,32.34,6,1,1036MS Newton 5 ENE.txt,0.925,4.381,1.5,35.9,0.797645349,0.019,0.019,272.26,32.1,1.87,1.729,450,LWC,16S,305184,3580006
CRN,1037,-88.37,40.05,4,1,1037IL Champaign 9 SW.txt,0.944,3.722,12.4,53.1,0.852550369,0.011,0.015,238.6,49.91,14.21,0.792,450,LPC,16T,383140,4434205
CRN,1038,-88.85,41.84,4,1,1038IL Shabbona 5 NNE.txt,0.886,4.388,10.3,51.1,0.77845098,0.017,0.013,256.29,47.61,13.44,1.357,400,ITC,16T,346401,4633666
CRN,1039,-95.87,48.31,13,1,1039MN Goodridge 12 NNW.txt,0.687,8.225,13.4,61.2,0.51492887,0.033,0.045,174.85,59.79,19.5,1.669,300,ISCJ,15U,287206,5354737
CRN,1040,-70.93,43.17,3,1,1040NH Durham 2 SSW.txt,0.835,3.427,2.7,27.7,0.69792,0.021,0.021,247.92,25.72,3.63,1.859,400,LJ,19T,343121,4781501
CRN,1041,-70.93,43.17,3,1,1041NH Durham 2 N.txt,0.686,5.898,4.8,32.7,0.474602151,0.014,0.013,246.64,35.94,5.92,1.167,450,LJ,19T,343121,4781501
CRN,1042,-71.54,41.49,4,1,1042RI Kingston 1 NW.txt,0.52,4.368,3.6,34.7,0.379549839,0.03,0.029,140.12,30.4,14.35,1.516,450,LWC,19T,287963,4596268
CRN,1043,-71.54,41.49,4,1,1043RI Kingston 1 W.txt,0.73,4.955,0,29.3,0.560887372,0.024,0.016,184.07,22.97,8.01,1.972,450,LWC,19T,287963,4596268
CRN,1045,-105.54,40.04,3,1,1045CO Boulder 14 W.txt,0.813,7.731,1.8,45.2,0.634866359,0.002,0.021,255.11,27.12,2.52,1.88,450,LBMS,13T,453932,4432336
CRN,1046,-113.43,48.74,6,1,1046MT St. Mary 1 SSW.txt,0.929,3.798,0.4,29.8,0.799816327,0.006,0.018,232.96,29.23,0,3.112,450,LBMH,12U,321347,5401402
CRN,1047,-96.61,39.1,8,1,1047KS Manhattan 6 SSW.txt,0.862,6.182,8,53.8,0.727021834,0.016,0.032,247.27,46.07,10.98,2.457,300,ISQJ,14S,706675,4330593
CRN,1049,-116.02,36.62,3,1,1049NV Mercury 3 SSW.txt,0.87,0.414,0.3,6.7,0.8053125,0.018,0.02,227.69,9.41,1.18,3.62,450,IAQ,11S,587629,4053166
CRN,1050,-120.88,37.24,12,1,1050CA Merced 23 WSW.txt,0.226,0.231,0,7.5,0.1952,0.03,0.027,303.9,48.75,0.29,0.629,450,XADB,10S,688046,4123602
CRN,1066,-98.06,26.53,1,1,1066TX Edinburg 17 NNE.txt,0.904,2.063,4.6,23.6,0.795421053,0.017,0.017,220.8,20.65,7.48,1.7,350,IAQ,14R,593649,2934723
CRN,1067,-102.77,33.96,6,1,1067TX Muleshoe 19 S.txt,0.936,1.909,6.2,30.9,0.858712551,0.01,0.01,295.01,32.39,10.8,1.431,250,IAQ,13S,706051,3759961
CRN,1068,-101.61,36.57,8,1,1068OK Goodwell 2 E.txt,0.911,2.9,3.3,39.5,0.830889503,0.019,0.014,273.92,41.23,5.95,1.566,350,ISQJ,14S,266447,4050343
CRN,1085,-75.93,37.29,3,1,1085VA Cape Charles 5 ENE.txt,0.525,5.791,1.4,26.4,0.29336,0.046,0.035,319.67,20.87,4.03,2.845,400,LJ,18S,417566,4127449
CRN,1105,-117.14,36.6,1,1,1105CA Stovepipe Wells 1 SW.txt,0.931,0.811,0.8,10.1,0.843795699,0.021,0.016,268.37,22.49,1.46,1.472,500,XSMB,11S,487478,4050509
CRN,1106,-114.21,39.01,3,1,1106NV Baker 5 W.txt,0.88,1.563,0,12.6,0.755952381,0.04,0.045,296.23,14.07,0.56,2.85,450,IAQ,11S,741577,4321590
CRN,1107,-110.71,43.66,3,1,1107WY Moose 1 NNE.txt,0.914,1.2,0,12.8,0.82025,0.009,0.022,256.69,14.87,0,1.402,500,LPQ,12T,523382,4834151
CRN,1108,-108.97,40.24,8,1,1108CO Dinosaur 2 E.txt,0.933,3.207,6.1,32.8,0.81288764,0.002,0.014,240.58,37.1,7.48,1.426,450,LBMS,12T,672678,4456371
CRN,1109,-107.69,38.54,6,1,1109CO Montrose 11 ENE.txt,0.914,3.417,3.5,37.3,0.812905325,0.003,0.015,224.92,34.26,4.69,1.246,450,LBMS,13S,265548,4269162
CRN,1110,-103.82,37.86,4,1,1110CO La Junta 17 WSW.txt,0.527,4.414,6.7,30.6,0.342313808,0.033,0.044,159.72,27.7,11.68,2.737,350,IAQ,13S,603799,4190937
CRN,1111,-83.39,33.78,3,1,1111GA Watkinsville 5 SSE.txt,0.956,2.703,0.3,22.7,0.835330357,0.021,0.013,271.62,18.47,2.07,1.304,450,LWC,17S,278696,3740330
CRN,1113,-86.92,46.33,3,1,1113MI Chatham 1 SE.txt,0.808,3.266,3.6,29.4,0.681410853,0.004,0.022,246.98,21.34,3.5,2.678,450,LJ,16T,506157,5130716
CRN,1114,-90.17,44.06,2,1,1114WI Necedah 5 WNW.txt,0.946,1.696,0.3,17.9,0.849636364,0.02,0.041,249.83,14.2,2.32,4.196,350,ISCJ,15T,726667,4882431
CRN,1115,-101.44,42.07,1,1,1115NE Whitman 5 ENE.txt,0.844,1.303,0.7,13.5,0.742203125,0.012,0.026,234.12,10.72,1.98,3.413,250,XACJ,14T,298140,4660429
CRN,1116,-93.29,41.56,8,1,1116IA Des Moines 17 E.txt,0.909,4.991,11.7,48,0.771506887,0.018,0.015,187.22,42.96,16.78,1.313,300,ITC,15T,475818,4600966
CRN,1117,-76.25,42.44,6,1,1117NY Ithaca 13 E.txt,0.637,6.111,8.8,46,0.472725806,0.007,0.031,243.37,38.27,6.59,1.617,450,LJ,18T,397193,4699387
CRN,1118,-73.74,41.79,4,1,1118NY Millbrook 3 W.txt,0.751,3.722,0,31.1,0.631321543,0.01,0.033,242.99,25.93,2.47,2.927,450,LJ,18T,604693,4627227
CRN,1119,-85.96,34.29,3,1,1119AL Gadsden 19 N.txt,0.906,3.406,2.8,38.9,0.81165097,0.012,0.011,266.14,31.88,3.94,1.202,450,LWC,16S,595716,3794800
CRN,1120,-81.46,30.81,1,1,1120GA Brunswick 23 S.txt,0.783,2.133,0.5,13.2,0.615047244,0.033,0.028,285.11,8.78,1.24,2.977,450,LJ,17R,455998,3408635
CRN,1121,-85.13,36.01,6,1,1121TN Crossville 7 NW.txt,0.862,7.298,6.2,51.4,0.700539823,0.009,0.009,254.35,46.97,11.87,0.623,450,LWC,16S,668526,3986674
CRN,1122,-86.98,32.33,3,1,1122AL Selma 13 WNW.txt,0.748,9.013,13.4,70.6,0.59043007,0.01,0.015,270.41,64.48,19.88,1.047,450,LWC,16S,501882,3577014
CRN,1123,-75.79,39.86,4,1,1123PA Avondale 2 N.txt,0.777,6.218,6.3,38.6,0.58449226,0.018,0.027,216.29,37.77,9.24,1.259,450,LJ,18S,432427,4412517
CRN,1124,-87.88,30.55,3,1,1124AL Fairhope 3 NE.txt,0.768,3.234,1.5,22.7,0.61545283,0.032,0.005,19.86,19.04,5.16,1.578,450,LWC,16R,415596,3380061
CRN,1125,-81.78,40.37,4,1,1125OH Coshocton 8 NNE.txt,0.816,7.912,5.9,51.6,0.642870897,0.009,0.014,247.14,63.02,6.44,0.575,450,LPM,17T,433779,4469116
CRN,1128,-81.32,25.9,3,1,1128FL Everglades City 5 NE.txt,0.89,2.741,2.2,23.1,0.758851675,0.06,0.001,259.89,18.21,4.18,3.147,350,ITF,17R,467947,2864648
CRN,1129,-91.78,35.82,4,1,1129AR Batesville 8 WNW.txt,0.9,3.628,7,40.5,0.791701493,0.009,0.027,262.03,36.67,9.65,1.112,400,LPM,15S,610207,3964670
CRN,1130,-100.25,32.04,6,1,1130TX Bronte 11 NNE.txt,0.876,1.935,1,19.7,0.772524064,0.016,0.007,164.27,18.61,2.93,1.141,400,IAQ,14S,381977,3545552
CRN,1138,-106.52,35.86,4,1,1138NM Los Alamos 13 W.txt,0.8,5.058,3.6,40.3,0.662179837,0.006,0.023,219.2,33.22,6.31,1.967,450,IAQ,13S,362759,3969487
CRN,1139,-103.38,46.89,4,1,1139ND Medora 7 E.txt,0.923,7.072,5.4,40.1,0.719195965,0,0.026,239.23,42.3,9.13,1.178,300,XACJ,13T,623412,5194214
CRN,1140,-103.3,45.52,3,1,1140SD Buffalo 13 ESE.txt,0.854,3.393,10.6,37.1,0.725962264,0.002,0.025,222.44,36.35,15.96,1.511,250,XACJ,13T,632768,5042123
CRN,1141,-80.69,28.62,1,1,1141FL Titusville 7 E.txt,0.759,2.63,1.5,46.9,0.701070485,0.025,0.02,332.14,58.74,8.16,0.241,350,ITF,17R,530303,3165925
CRN,1142,-93.15,39.87,6,1,1142MO Chillicothe 22 ENE.txt,0.897,6.958,7.2,57.7,0.759217822,0.016,0.016,204.97,56.38,12.98,1.08,350,ITC,15S,487171,4413339
CRN,1144,-108.67,42.68,6,1,1144WY Lander 11 SSE.txt,0.965,2.626,3.2,32.1,0.874134948,0.006,0.008,219.89,35.24,3.5,1.631,400,LPQ,12T,690901,4727912
CRN,1145,-119.65,44.56,9,1,1145OR John Day 35 WNW.txt,0.9,1.649,1.9,17.9,0.7969375,0.013,0.005,225.5,19.78,3.32,2.695,450,XTM,11T,289545,4937489
CRN,1231,-100.96,38.87,4,1,1231KS Oakley 19 SSW.txt,0.754,4.93,13.5,44.4,0.594453074,0.018,0.023,231.86,43.04,17.87,2.18,300,IAQ,14S,329962,4304176
CRN,1232,-108.5,37.26,3,1,1232CO Cortez 8 SE.txt,0.88,4.182,4.1,31.5,0.727372263,0.017,0.017,212.3,40.43,4.49,1.285,500,LBMS,12S,721699,4126645
CRN,1233,-123.81,47.51,4,1,1233WA Quinault 4 NE.txt,0.76,4.081,1,21.6,0.561893204,0.023,0.016,126.4,19.02,2.68,1.271,500,IVD,10T,439007,5262159
CRN,1234,-123.33,44.42,8,1,1234OR Corvallis 10 SSW.txt,0.709,5.758,10.9,50.8,0.564689223,0.035,0.025,157.95,47.12,18.77,1.83,450,XTM,10T,473729,4918575
CRN,1235,-102.17,48.97,6,1,1235ND Northgate 5 ESE.txt,0.685,4.503,4.5,34.9,0.536875,0.006,0.036,223.1,28.78,12.25,4.08,200,XACJ,13U,707106,5427980
CRN,1236,-100.35,44.02,12,1,1236SD Pierre 24 S.txt,0.93,4.87,3.1,55.8,0.837590133,0.015,0.014,299.43,44.23,9.48,3.296,300,XACJ,14T,391800,4874980
CRN,1306,-103.21,29.35,3,1,1306TX Panther Junction 2 N.txt,0.928,1.248,1.5,18.3,0.853714286,0.016,0.019,285.74,19.13,3.69,1.953,300,IAQ,13R,673770,3248094
CRN,1307,-106.74,32.61,8,1,1307NM Las Cruces 20 N.txt,0.864,2.376,2.2,19.6,0.727448276,0.011,0.01,264.05,18.98,4.79,1.333,300,IACJ,13S,336734,3609389
CRN,1346,-78.47,38,3,1,1346VA Charlottesville 2 SSE.txt,0.854,7.628,10.4,46.8,0.64443956,0.006,0.015,210.19,36.48,10.79,1.048,450,LJ,17S,722144,4208835
CRN,1347,-79.09,35.97,6,1,1347NC Durham 11 W.txt,0.727,8.249,3.3,40.2,0.503449864,0.006,0.018,219.33,29.15,4.04,1.168,450,LJ,17S,672218,3982307
CRN,1386,-98.08,30.62,9,1,1386TX Austin 33 NW.txt,0.918,4.286,6.4,54.4,0.828708333,0.023,0.011,207.96,46.2,11.1,1.873,400,ISQJ,14R,588176,3387850
CRN,1387,-96.82,28.3,1,1,1387TX Port Aransas 32 NNE.txt,0.751,1.528,0,12.7,0.630685039,0.053,0.026,306.37,16.07,2.05,0.578,450,IAQ,14R,713775,3132364
CRN,1406,-91.72,37.63,4,1,1406MO Salem 10 W.txt,0.917,3.152,5.7,43.1,0.832721925,0.011,0.019,240.69,40.44,10.26,0.84,400,LPM,15S,612945,4165534
CRN,1407,-94.58,37.43,4,1,1407MO Joplin 24 N.txt,0.678,9.943,6.9,49.5,0.444596244,0.004,0.04,267.95,39.56,12.96,2.035,350,ITC,15S,360208,4143747
CRN,1426,-84.72,44.91,1,1,1426MI Gaylord 9 SSW.txt,0.915,1.989,0.8,21.1,0.817019704,0.005,0.02,236.84,16.36,0,2.271,450,LJ,16T,679980,4975481
CRN,1446,-99.13,45.71,6,1,1446SD Aberdeen 35 WNW.txt,0.91,3.077,6.5,39.3,0.816189024,0.013,0.013,222.68,38.67,9.32,1.32,450,ISCJ,14T,489881,5061835
CRN,1447,-92.99,46.11,4,1,1447MN Sandstone 6 W.txt,0.714,5.453,5.9,33,0.512782288,0.024,0.022,278.83,29.2,14.39,2.631,250,ISCJ,15T,500772,5106269
CRN,1467,-117.53,47.42,4,1,1467WA Spokane 17 SSW.txt,0.666,8.571,0.5,37.1,0.431819672,0.041,0.029,152.2,37.73,2.2,4.585,450,ISCB,11T,460023,5251975
